src,mt,comet_score,source_file,line_idx
These are all—”,這些都——」,0.7269092798,aligned_ch18.jsonl,95
"You put the barrel of the gun into your mouth and your teeth scraped against it and you didn’t like that feeling either, so you decided to fire through the side of your head instead, and you were going to do it, then you weren’t, and then you were.",你把槍管放到嘴裏，碰到了牙齒，你不喜歡這種感覺。於是你決定對準太陽穴開槍，你打算這樣做。之後你又不想這樣做了，接著你又想這樣做。,0.6434167624,aligned_ch27.jsonl,10
"Let’s not blame society, the justice system, the mental health system, the economy, let’s not try to shorten the gap between the rich and the poor, let’s not blame education and people slipping through the cracks, and minimum wage not covering the cost of living and forcing people to do things they normally wouldn’t, let’s not blame the twenty-four-hour news cycle instilling fear into everybody, or how easy it is to get a gun, let’s blame the author, it’s his fault, lock all the authors up and there’s your world peace,” he says, and he can feel his heart rate climbing, can feel something pulsing in his forehead, can feel the old Jerry returning.",不要怪社會、司法、醫療、經濟，別再徒勞地縮小貧富差距，別再責怪教育，不要在乎人民的關注度夠不夠，不要抱怨最低工資不能維繫基本生活，不要強迫人們做他們辦不到的事情，不要指責二十四小時新聞向人們灌輸社會的陰暗面，或者太容易搞到槍支。讓我們責怪作者，犯罪是他的錯，把所有的作家都拘押起來，你的世界就和平了。」他感到心跳加速，額頭上青筋暴起，彷彿原來的傑瑞回到了身體里。,0.6994408965000001,aligned_ch9.jsonl,128
"Jerry was walking the fields and shitting in the woods of Batshit County, population: Jerry.",傑瑞走在田野里，在瘋人縣的樹林里拉屎。,0.6159410477,aligned_ch35.jsonl,38
The wedding is less than five weeks away and you can’t wait until it’s in the rearview mirror.,婚禮還有不到五個星期了，簡直迫在眉睫，但你還是等不及了。,0.6227000356,aligned_ch9.jsonl,18
"His friend was switching off again, wasn’t he?",他的朋友腦子關機了，不是嗎？,0.638584137,aligned_ch35.jsonl,35
"He based this book on what happened to her. He used her story to write one of his own, a story he then went on to sell, a story that helped pay his mortgage, that helped give Eva a good education, a story that gave them the chance to travel the world—all things that couldn’t have been any further from Suzan’s mind when her ex-boyfriend’s hands were around her throat.",他把她當成原型，把那場謀殺當成情節寫進了這本書，然後拿去售賣，支付抵押貸款，提供伊娃一流的教育，給他們一家週遊世界的機會——當蘇姍的前男友扼住她喉嚨的時候，恐怕她永遠也想不到會有這一天。,0.7462798357,aligned_ch4.jsonl,121
"Think, Jerry, come on, you’re almost there, you’re—”",你好好想想，傑瑞，加把勁，你就快想起來了，你——」,0.6488068104,aligned_ch32.jsonl,233
"As annoying as she is, the last thing he wants is her falling over and cracking her head open. He tries to keep his grip on the hockey stick to stop her from falling, but she’s too heavy, and the stick comes out of his hands.",他想抓住曲棍球棒不讓她摔倒，但她太重了，球棒從他的手裡脫開。,0.6998524666,aligned_ch27.jsonl,239
She took them last night.,她是昨晚拿走的。,0.6898144484000001,aligned_ch11.jsonl,7
"You went to the office door to call to Sandra, and as soon as your back was to me I injected you in the neck.",你到寫作房門口，去叫桑德拉，你背對著我時，我就在你脖子上打了一針。,0.7356998920000001,aligned_ch35.jsonl,181
"They head into what turns out to be the dining room, then the lounge, no furniture to bang their knees into.",他們走進餐廳，接著是客廳，沒有傢具磕碰他們的膝蓋。,0.7436971664,aligned_ch30.jsonl,30
You’re restocked with alcohol. More good news—Hans confirmed you never bought a gun.,另一個好消息：漢斯證實了你從來就沒買過槍。,0.6229535937,aligned_ch6.jsonl,45
"Perhaps he had hidden the evidence. You moved your desk, used the screwdriver on the floor, and found your shirt under there.",你移動辦公桌，用螺絲刀撬動地板，發現了藏在下面的襯衫。,0.6873964071,aligned_ch24.jsonl,28
"He wants to wait for the beach, but more is coming back to him now, things he would much rather forget.",他曾嚮往海灘，他記起來了，但一些其他他寧可忘卻的記憶正在慢慢復甦。,0.5892518759,aligned_ch1.jsonl,131
"“We’ve been charting the progression of the disease, Jerry,” Goodstory says.",「我們一直在關注疾病的進展情況，傑瑞。」,0.7406198978,aligned_ch4.jsonl,90
"I think it might have been a mistake bringing you here. If I had known it still looked like this,” she says, but doesn’t finish the thought.",我想帶你到這兒來可能是個錯誤，要是我早知道會這樣的話……」她說，但沒說完。,0.7368873358,aligned_ch12.jsonl,168
“I can just tell. It’s like a secret power.”,「我就是知道，就像特異功能。」,0.6194814444,aligned_ch30.jsonl,98
Nothing good ever comes after those words.,那些話后准沒什麼好事。,0.7489957809000001,aligned_ch24.jsonl,116
You were home by ten and are keeping your promise to ride the sober train all the way to Eva’s wedding.,你到家時已經十點了，你保證過要一直保持清醒，直到伊娃舉行完婚禮。,0.7494561076,aligned_ch18.jsonl,6
"When I try to think of these people, their names and faces all fade into a murky past, but not hers.",當我回想這些人時，他們的名字和面孔都消失在陰暗的過去，唯獨她的沒有。,0.7449634075,aligned_ch37.jsonl,17
"“They’re asking you about Belinda Murray,” Hans says, and here comes the concern Jerry expected from him two minutes ago.",「他們在問你貝琳達·穆雷。」漢斯說著，臉上露出關切的神情，兩分鐘前傑瑞就希望看到這副表情。,0.7047026157,aligned_ch18.jsonl,117
"One of them was tearing them out to protect him, to keep the bad things he was doing a secret.",撕掉日記的那幾頁是為了保護他，掩蓋他做的壞事。,0.6965782642,aligned_ch34.jsonl,49
"Please, Jerry. You moved to the couch and sat, but didn’t take her hand.",你走向沙發，坐了下來，但沒有握她的手。,0.6786335111,aligned_ch27.jsonl,24
Sandra didn’t object to the tonic staying in the house.,桑德拉不會反對家裡放著奎寧水的。,0.6785848737,aligned_ch6.jsonl,42
"Genuine laughter, especially from the older folks in the crowd who all can relate to what Jerry is saying.",特別是人群中的老人們，他們都能理解傑瑞說的意思。,0.7427037358,aligned_ch20.jsonl,86
"Oh, so it’s my books now, is it?",「哦，是我的書，對嗎？」,0.7156875134,aligned_ch15.jsonl,102
"You taught Mrs. Busybody across the road a lesson today, Future Henry.",未來的亨利，今天你給了街道對面的好管閑事的太太一個教訓。,0.7423235178,aligned_ch34.jsonl,1
"She doesn’t even have time to struggle. It only takes a couple of seconds, and then she’s asleep, Hans lowering her gently to the ground.",她甚至來不及反抗掙扎，只過了幾秒鐘，她就睡著了。,0.6959785819000001,aligned_ch30.jsonl,203
"“It’s almost just how you left it,” Terrance says.",「跟您離開時沒什麼兩樣。」特倫斯說。,0.7447721958,aligned_ch12.jsonl,163
"You were drunk, the perfect amount of buzz where it wasn’t going to worry you how far you had to walk, or how much a drink was going to cost, or what kind of bar you ended up in.",你喝醉了，所以不必擔心你走得有多遠，不必擔心一杯酒多少錢，或者身處什麼酒吧。,0.7150606513000001,aligned_ch24.jsonl,13
"If that doesn’t work, then perhaps the next step is to have a GPS chip sewn into your back where you can’t reach it.",如果還是不行的話，也許下一步就要在你的背部縫入一個GPS晶元，你夠不到它的。,0.7213445902000001,aligned_ch18.jsonl,27
You can’t switch it off. We’re going to tell the police you have confused the news story with your own reality the same way you confuse your fiction with your reality.,我們要告訴警察你把新聞報道和現實世界弄混淆了，而且還把小說情節與現實世界弄混淆了。,0.6644054651,aligned_ch10.jsonl,199
"“Name’s Terrance Banks, but people call me Terry,” Terrance says, talking quickly to get through his sentence before sneezing again.",他說，「我叫特倫斯·班克斯，但大家都叫我特里。」,0.6812625527,aligned_ch12.jsonl,112
He parked outside the old house and Jerry came walking down the pathway to the car with that stupid dopey look Jerry has these days.,他把車停在老房子的外面，傑瑞沿著小徑迎面走來，獃頭獃腦的。,0.7449657321,aligned_ch35.jsonl,30
"Your wife disappeared in the morning to be with Eva and the bridesmaids to go ooh and ahh as they had their hair done, to relax the nerves with a glass of champagne, to have their makeup expertly applied, and to just generally enjoy the morning.",你妻子上午離開家去陪伊娃和伴娘，在她們做頭髮時表示讚歎，喝杯香檳放鬆放鬆，看著她們駕輕就熟地化妝，享受這個上午。,0.7141504288,aligned_ch20.jsonl,16
"“Just some notes,” Jerry says, and he goes back to the loose pages, of which there are another dozen or so.",「一些筆記。」傑瑞說，他開始看那些零散的紙頁，還有十幾頁。,0.7303824425000001,aligned_ch34.jsonl,53
"You can remember the time Eva got stung by a bee when she was nine years old, which led to her throwing out a plushy bee toy she’d had since she was a baby, plus every one of her children’s books that had pictures of bees in them. You can remember the day your mother called with news dad had died. You can remember teaching Eva to fly a kite, how the string broke, how it disappeared on the wind and you convinced her it was going to head into space, and how every night for the following few weeks she would ask where the kite was now, and you would say it was near Mars, near Jupiter, how it was stuck on the rings of Saturn but working its way free, and she asked how you knew all this and you said NASA would call every night because they were tracking it with one of their giant telescopes.",你能記得伊娃九歲的時候被蜜蜂蜇了，她便把在嬰兒時給她買的一個很貴的萊希蜜蜂玩具扔出房去，還包括裏面的蜜蜂圖畫的兒童圖書；你還記得你媽媽打電話過來說你爸爸去世的那一天；你還記得如何教伊娃放風箏，風箏線斷了，風箏隨風飄去，你對她說風箏飄去了太空。,0.6104309559000001,aligned_ch23.jsonl,6
"You had no money, and like the last time you had gone to her house, you were confused.",像上次去她家一樣，你神志不清，茫然不解。,0.6208337545,aligned_ch27.jsonl,51
"Hans says, and Jerry knows exactly what’s happened, that when he kept spinning the chamber all those months ago as he sat next to Sandra, the bullets got out of sequence. Right now the firing pin has landed on the empty shell, the one that used to contain the bullet that killed his wife.",漢斯說，但傑瑞心裏明白是怎麼回事了，幾個月前，他坐在桑德拉身邊不停地旋轉彈筒，所有的子彈都亂了順序。,0.569437325,aligned_ch36.jsonl,106
"Not one of the worst I’ve ever seen, but pretty damn close.”",雖然這並不是我見過最糟糕的，但也他媽的差不多了。」,0.7277508378,aligned_ch32.jsonl,213
"They run downstairs, each of them stumbling, Jerry tripping into Hans, Hans tripping into Jerry, more good luck than anything else keeping them upright as Hans’s cell phone lights the way. When they get to the bottom they don’t actually know where to turn.",他們跑到樓下，兩個人都被絆了一下，傑瑞絆了漢斯，漢斯絆了傑瑞，不過因為有漢斯的手機照路，兩個人都沒有摔倒。,0.6504209042,aligned_ch30.jsonl,27
“I’m not . . .,「我不……我不清楚。」,0.7168154120000001,aligned_ch9.jsonl,70
"It’s going to tell them that Jerry Grey committed a murder and had the sound mind to try and get away with it, which means when they come for you, they may be trigger-happy.",他們會知道傑瑞·格雷犯了謀殺罪，頭腦清晰，並且試圖逃脫法律的制裁，這意味著他們會來逮捕你，甚至很有可能會亂槍打死你。,0.6873848438,aligned_ch20.jsonl,115
"Pulling up the floor is exactly what they need to do. The journal will be under there, then he can find out who really killed his wife, because it couldn’t have been him.",撬開地板是他們唯一能做的，日記會在那裡的，他會弄清楚究竟是誰殺了他的妻子，不可能是他，不可能是他。,0.6929143667000001,aligned_ch12.jsonl,277
"“I’m not a monster,” Jerry says, and the relief is back . . .",「我不是怪物。」傑瑞說。,0.5648876429,aligned_ch32.jsonl,134
"“Details are sketchy, but what appears to be a murder weapon has been located, and evidence at this stage suggests a connection to the former crime writer, which in itself suggests that Grey may now be living inside one of the realities he used to create.",眼下，有證據顯示這位前犯罪小說家與這個案件有關，這表明，格雷現在生活在他曾虛構的現實之中。,0.6677892208,aligned_ch24.jsonl,89
Hearing it coming over the radio is a confirmation Jerry doesn’t want.,收音機里的報道是傑瑞不想聽到的新聞。,0.7044439316000001,aligned_ch20.jsonl,107
"“You have good days and bad,” she says, in the way of an answer.",「時好時壞吧。」她像背答案似的說。,0.6710680723,aligned_ch0.jsonl,150
“You ever have characters who commit a crime and then can’t remember doing it?”,「你書里有沒有人犯了罪，結果自己反而不記得了？」,0.7478995919,aligned_ch9.jsonl,161
Jerry used to be a crime writer—check.,傑瑞以前是一個犯罪小說家——檢查正確。,0.6787403822,aligned_ch33.jsonl,5
"You need the journal to help remember who you are, because this disease you’re pretending you don’t have, well, you have it.",你需要它，它可以幫助你記住自己是誰，你明明有病，卻假裝自己正常得很。,0.6956675649,aligned_ch10.jsonl,3
"The truth is if you were counting the days she had ever been mad at you, you’d be up somewhere around five thousand by now (that’s a joke, Jerry—I hope you’re laughing!).",要是你數一數她對你大動肝火的日子，說不定你會發現真是時光荏苒、滄海桑田（這是個玩笑，傑瑞，我真希望你笑！）。,0.6279116869,aligned_ch3.jsonl,17
"While it’s booting up, he goes through the closet where there are some clothes hanging and some boxes on the ground. He starts pulling them out.",等著電腦開機時他翻查衣櫃，裏面掛著一些衣服，底部放著盒子，他把它們拖了出來。,0.7034593225,aligned_ch30.jsonl,196
"Sure, you lost your dad in a pool, you left your coffee there, and your keys, but that’s just carelessness—after all, you do have a world full of people living inside your head looking for a voice, remember? All those characters? Serial killers and rapists and bank robbers, and of course then there’s the bad guys too (that’s a joke).",你在泳池邊永遠失去了父親，又在泳池邊落了咖啡和鑰匙，但那只是粗心大意罷了，畢竟，你的腦中還得去構思那些形形色|色的人物，你還記得嗎，連環殺手、作姦犯科者和銀行劫匪，總之都是些罪惡滔天的壞蛋（這是一個玩笑）。,0.6475753188000001,aligned_ch2.jsonl,18
"“Very good ones too,” Hans says, interrupting him. “People were always saying how real they felt.",「書寫得很精彩，」漢斯打斷他，「人們總是說那些故事如何如何真實。,0.7262605429,aligned_ch18.jsonl,91
"His grip is sweaty. At the same time a cat appears in the doorway, a longhair tortoiseshell that pushes itself against Jerry’s legs before doing the same to Nurse Hamilton.",這時一隻長毛家貓出現在門口，它蹭了蹭傑瑞的腿，又去蹭了蹭漢密爾頓護士的腿。,0.629124403,aligned_ch12.jsonl,110
He does it for a living. He’s a professional liar.,為了生計，他成了一個專業扯淡的文字騙子。,0.6196365356,aligned_ch27.jsonl,234
"The table is proof she’s already moving on, and at least now you know why she changed your pin number for the online banking and has torn pages from your journal. She doesn’t want you to spend what is now their money, and you must have figured this out earlier and written about it, and she found out and tore out the evidence.",桌子就是證據，表明她已經開始行動了，至少你已經知道她為什麼要更改你網上銀行的密碼，撕掉日記里的兩頁：因為她不想讓你花「他們的錢」。,0.5997680426,aligned_ch12.jsonl,63
"In saying that, there is definitely less of a need to keep writing here—why would anybody clearly not mad need to keep a Madness Journal? You barely read from it anymore anyway.",說到日記，你真的沒有必要再去寫，為什麼一個不再是狂人的人要去寫「狂人日記」呢？,0.647850275,aligned_ch9.jsonl,22
"“You’re rotten inside, Mr. Grey. Mean to the core.”",「你爛透了，格雷先生，我是說你心腸爛透了。」,0.7483539581,aligned_ch27.jsonl,231
"He let us inside and I found the hiding spot, but there was nothing there, only I think it was there and Gary found it and is hiding it, the journal and the gun.”",他讓我們進入房子，我發現了暗格，但那裡什麼也沒有。然而，我認為它就在那裡，只是加里發現了並藏了起來，包括日記和槍。」,0.6901480556,aligned_ch20.jsonl,212
Good news—there is none.,好消息：沒有好消息。,0.7249590755,aligned_ch22.jsonl,42
He picks up the manuscript. It’s bulky.,他拿起手稿，很沉。,0.6865602136000001,aligned_ch30.jsonl,142
"You shook a lot of hands, said How have you been a few dozen times, Nice to see you again a few dozen more, people who were strangers, people from your life you couldn’t remember, here was Jerry with his Alzheimer’s, Jerry to be pitied, Jerry who everybody was worried was going to mess up, and isn’t that just the setup to the world’s greatest punch line?",你和他們一一握手，說了幾十次「您好」，幾十次「很高興再次見到您」。其中有很多人你從來沒見過，還有很多人你記不起來了，站在這裏的是患有阿爾茨海默病的傑瑞，值得被同情的傑瑞，大家都擔心會把事情搞砸的傑瑞，這是不是天底下最好笑的笑話？這就是他們想要的嗎？,0.7420401573000001,aligned_ch20.jsonl,38
"Eva getting married at a church by a graveyard—the failed-to-be horror author can’t help but see the timing of all of this coinciding with the timing of the zombie uprising, the zombies choosing your little girl’s big day for a little big day of their own.",伊娃在墓地旁邊的教堂舉行婚禮，你這個恐怖小說作家真不忍心看到這一天也會成為殭屍的大日子，在女兒的婚禮當天來一場大暴動。,0.6113956571,aligned_ch17.jsonl,8
"When Mrs. Smith comes over later, just smile at her, and tell her how much fun you had ruining her pride and joy.",後來，史密斯太太來了，你沖她微笑，告訴她毀了她為之驕傲和喜悅的玫瑰是多麼有趣。,0.6296812892,aligned_ch34.jsonl,16
"You could live on desserts, and why not? Soon you’re not going to care how you look.",你甚至可以把甜點當主食了，不久之後你也不會在意自己的身材。,0.7158117294,aligned_ch13.jsonl,28
"This isn’t being written down because you think things are going to work out okay, or that Captain A has found a different white whale to chase and doesn’t need this vessel anymore, but because when your family looks back at everything, they can understand what it was like.",這件事之所以沒有寫下來，是因為你以為事情會順利解決的。或者說，「阿爾茨船長」發現了另一頭白鯨去駕馭，這艘船就可以捨棄了。當你的家人回顧這一切時，他們可以感同身受。,0.696595788,aligned_ch26.jsonl,1
It’s all coming together now.,現在，所有的事情都聯繫在一起了。,0.7325731516,aligned_ch35.jsonl,63
"Inside are boxes that, if Gary is anything like him, will be full of receipts and bank statements and all the other joys of being taxed in multiple countries that people don’t think about when it comes to being a writer. There’s a set of small plastic drawers full of stationary, a set of headphones hanging from a hook in the wall, a pile of magazines, some reams of paper.",裏面是幾個盒子，如果加里也像他一樣的話，這裏面應該是收據、銀行賬單和多個國家的徵稅憑據單，人們通常想不到一個作家還會保存這些東西。,0.5707758069000001,aligned_ch33.jsonl,117
"“Last one,” Mayor says.",「最後一個。」,0.7329167724,aligned_ch9.jsonl,176
"Jerry remembers coming home from university that day, the police cars on his street, his parents telling him what had happened. Suzan was gone and it didn’t make sense how life could end so easily. That’s the balance, he realizes.",傑瑞還記得，那一天他從大學回家，看見街頭停著警車，他的父母告訴了他一切：蘇姍死了，生命如此脆弱，卻連一點兒預兆也沒有。,0.6293792129,aligned_ch4.jsonl,122
"“It’s your nosy neighbor,” he says.",「是你的八卦鄰居。」,0.6308802366,aligned_ch36.jsonl,77
Honestly? You don’t think she’s just referring to the wedding.,說實話呢，你覺得她不只是指婚禮的事。,0.677586019,aligned_ch18.jsonl,32
Three times where he’s essentially been sleepwalking. Only it should be called wakewalking.,實際上他三次都是在夢遊，或者他應該叫自己為「夢遊人」。,0.661511898,aligned_ch6.jsonl,92
"Two of them actually. You wandered down in your robe an hour later and they were standing in the kitchen talking to Sandra, who had just made them coffees, and you didn’t like the way they were looking at her, but what was worse was the way Sandra liked the way they were looking at her.",一個小時以後，你穿著睡袍溜了下來，看到他們正站在廚房裡和桑德拉說話，她剛剛給他們煮了咖啡，你不喜歡他們盯著她的眼神，但糟糕的是，桑德拉喜歡。,0.7089391351000001,aligned_ch13.jsonl,19
"Bring it on, Captain A. Do your best.",來吧，「阿爾茨船長」。你會儘力而為。,0.6256237626000001,aligned_ch16.jsonl,28
Where was the fight?,戰鬥在哪裡？,0.6895672083000001,aligned_ch25.jsonl,7
But The Man Goes Burning is a mess.,但《燃燒的男人》就是一堆文字垃圾。,0.7166751623000001,aligned_ch1.jsonl,39
"This entry isn’t going to start with good news or bad news, but with weird news. Two pages have been torn out from this journal, the two pages after the last entry. You didn’t do it, and you didn’t write in them either because you me us we are still sane. Two blank pages gone.",今天的日記不會以好消息或壞消息開始，而是以奇怪的消息開始：日記本中有兩頁被撕掉了，就在上一篇的后兩頁，這並不是你乾的，何況你在那兩頁上什麼也沒有寫，你還清醒得很。,0.7159877419,aligned_ch9.jsonl,0
