src,mt,labse_score,type,source_file,line_idx,comet_score,llm_decision,llm_reason
"Hans says, and Jerry knows exactly what’s happened, that when he kept spinning the chamber all those months ago as he sat next to Sandra, the bullets got out of sequence. Right now the firing pin has landed on the empty shell, the one that used to contain the bullet that killed his wife.",漢斯說，但傑瑞心裏明白是怎麼回事了，幾個月前，他坐在桑德拉身邊不停地旋轉彈筒，所有的子彈都亂了順序。,0.7768313289000001,2:1,aligned_ch36.jsonl,106,0.569437325,KEEP,Core meaning preserved with natural literary translation.
"Inside are boxes that, if Gary is anything like him, will be full of receipts and bank statements and all the other joys of being taxed in multiple countries that people don’t think about when it comes to being a writer. There’s a set of small plastic drawers full of stationary, a set of headphones hanging from a hook in the wall, a pile of magazines, some reams of paper.",裏面是幾個盒子，如果加里也像他一樣的話，這裏面應該是收據、銀行賬單和多個國家的徵稅憑據單，人們通常想不到一個作家還會保存這些東西。,0.7642848492000001,2:1,aligned_ch33.jsonl,117,0.5707758069000001,KEEP,Accurate and appropriate literary translation.
"It’s a light blue shirt. He looks at Jerry, then at Nurse Hamilton.",他看看傑瑞，又看看漢密爾頓護士。,0.7143948674,2:1,aligned_ch12.jsonl,238,0.571238637,KEEP,Accurate and contextually appropriate translation.
"It’s possible within the next few weeks you’ll end up telling Doctor Goodstory there must be something, begging for anything that money can buy, just get you into the next clinical trial that is showing some kind of promise, doesn’t have to be the next sure thing—at this point you’d take the next maybe thing.",也許幾個星期以後，你最終會告訴古德斯特里醫生，只要可以，即便用錢，就讓你做臨床試驗，哪怕不一定能完全治愈，但起碼也有一絲希望。,0.680080533,1:1,aligned_ch4.jsonl,23,0.5727128983,KEEP,Core meaning preserved with natural literary translation.
“Got who?”,「誰？」,0.8617744446000001,1:1,aligned_ch27.jsonl,124,0.5732809305000001,KEEP,Natural and accurate colloquial translation.
“What if I didn’t shoot her?”,「要是不是我開槍打死她的呢？」,0.8849874735000001,1:1,aligned_ch11.jsonl,88,0.5737800598,KEEP,Accurate and natural literary translation.
"This man has been his friend for thirty years. They’ve studied together, commiserated together, celebrated together, drunk and laughed and partied and talked all kinds of shit in all kinds of states together. His friend.",這個風風雨雨三十年的朋友，他們一起學習，互相慰藉，把酒言歡，侃天說地，談古論今。,0.7004032135,3:1,aligned_ch35.jsonl,77,0.5784399509,KEEP,Accurate and natural literary translation.
Now let’s find that hiding space.”,現在，讓我們看看底下的暗格吧。」,0.7127444744,1:1,aligned_ch12.jsonl,228,0.5785407424,KEEP,Accurate and natural literary translation.
"You feel bad Eva’s marrying her hip-hop-loving boyfriend in a place like this, but they’re doing it because of you, because Captain A Is taking you away, Yo.",你覺得伊娃在這種地方和她的嘻哈男友舉行婚禮有種不祥的預兆，但他們這樣做都是因為你啊，因為——,0.6744470596000001,1:1,aligned_ch17.jsonl,9,0.5787479877,KEEP,Accurate and appropriate literary translation.
"Right there in that moment when you thought that, you need to know you also thought about the gun. For a second—not even that, but just a microsecond—two things happened.",就在那一刻，你忽然念及此事，只那麼一會兒工夫，就在倏忽之間，你看到了兩件事。,0.7410387397,2:1,aligned_ch27.jsonl,30,0.5792686939,KEEP,Accurate and natural literary translation.
"“My daughter thinks I’m a monster,” he says, and it’s all making sense now.",「我女兒認為我是個怪物。」,0.7187460065,1:1,aligned_ch11.jsonl,101,0.5795047879,KEEP,Accurate and natural literary translation.
“I don’t know. All I know is that he has it.”,「我不知道，我只知道他弄到手了。」,0.83145082,2:1,aligned_ch30.jsonl,189,0.5811400414,KEEP,Accurate and natural literary translation.
"Your name is Jerry Grey and there is nothing, absolutely nothing, wrong with you except for the fact you can’t remember spraying a word you shouldn’t mention across the house of your neighbor. Here’s the thing. The shake. The rub.",你的名字是傑瑞·格雷，除了忘了在鄰居家的前牆上用油漆噴污言穢語，你沒有什麼不對勁的地方，絕對沒有。,0.7875742316000001,4:1,aligned_ch11.jsonl,0,0.5812547207000001,KEEP,Core meaning preserved with appropriate literary adaptation.
"The word even formed in your mind, this little word so big and powerful, too big it got stuck, too big it was crushed under its own weight. Yes, you said.",你心裏想說的是這個詞，但是這麼個小小的詞太巨大、太有力了，它卡在了你的喉嚨里，壓垮了你的身體。,0.7559430599,2:1,aligned_ch22.jsonl,21,0.5826720595,KEEP,Accurate and literary translation preserving core meaning.
"He makes his way to the side gate, noticing that the shrubs they planted last spring have all been torn up and replaced by different ones, a layer of bark put down, a family of garden gnomes guardians to it all. He reaches through and unlatches the side gate, and when it swings open he’s staring at a yard that feels slightly out of whack.",他走到側門，注意到他們去年春天種的灌木都被扯掉了，被另一種灌木所替代，堆著一層一層樹皮，擺放著一些花園精靈守護神。,0.7794395685000001,2:1,aligned_ch27.jsonl,197,0.5827105641,KEEP,Accurate and natural literary translation.
He tries to remember the Bag Man.,他努力想著「黑袋狂魔」。,0.6631287336,1:1,aligned_ch19.jsonl,72,0.5840218663,KEEP,Faithful to the original meaning and tone.
Surely I could use my crime-writing money to buy my house back and for home care. But the courts . . .,我可以用寫犯罪小說的錢將我的房子買回來，再請個家庭護理。,0.7495155334,2:1,aligned_ch31.jsonl,36,0.5853628516,KEEP,Accurate and natural literary translation.
"She was a real person with a real family and real feelings, and he betrayed that.",她是一個真實存在過的人，有屬於自己的家庭和感情。,0.7794587612,1:1,aligned_ch35.jsonl,201,0.5857366323000001,KEEP,Accurate and natural literary translation.
"she asked, waking him up.",她把他吵醒了。,0.7449492216,1:1,aligned_ch5.jsonl,20,0.5859438181000001,KEEP,Accurate and natural literary translation.
"He wants to wait for the beach, but more is coming back to him now, things he would much rather forget.",他曾嚮往海灘，他記起來了，但一些其他他寧可忘卻的記憶正在慢慢復甦。,0.6745841503000001,1:1,aligned_ch1.jsonl,131,0.5892518759,KEEP,Accurate and natural literary translation.
"Thank God Sandra doesn’t know about the gun, otherwise right now you’d be bleeding from a dozen holes.",感謝老天，桑德拉並不知道槍的事情，否則現在你早就被打成馬蜂窩了。,0.7881249189,1:1,aligned_ch20.jsonl,5,0.5896588564,KEEP,Accurate and natural literary translation.
"Then another said it too, and another, and the word was catching, because soon it was on the lips of all the dead people.",」然後另一個說，另一個又接著說，好像這個詞真有感染力似的，所有的殭屍都開始如是說了起來。,0.6560273767,1:1,aligned_ch19.jsonl,11,0.590251863,KEEP,Accurate literary translation with appropriate tone and imagery.
"“Actually there is,” Nurse Hamilton says, and Terrance’s face brightens.",「說實話，還真有。」漢密爾頓護士說。,0.6879975796000001,1:2,aligned_ch12.jsonl,138,0.5906310678000001,KEEP,Accurate and natural literary translation.
"You actually liked the feel of it, liked the way it made you look grown-up. All these years hanging out at home in a T-shirt and a pair of shorts always did make you feel like a kid.",這些年來，在家裡整天穿著一件短袖短褲始終讓你覺得自己像一個長不大的孩子。,0.6980885267,2:1,aligned_ch20.jsonl,21,0.5926558375000001,KEEP,Accurate and natural literary translation.
"He was taking a whole bunch of classes, including the same psychology class as you and Sandra, but for him it was more like he was trying to find the key to unlock not just the mind, but the world. He likes knowing how things tick.",他修了全部課程，也包括你和桑德拉選過的心理學，對他來說，這門課不僅像打開心扉的鑰匙，更像打開世界的鑰匙。,0.7984255552,2:1,aligned_ch6.jsonl,11,0.5929880142,KEEP,Accurate and appropriate literary translation.
"You didn’t really care one way or the other, but in the end she decided she wanted you to go. Probably so she could get you out of the house for obvious reasons.",不過最終她還是決定讓你去，或許這是為數不多可以讓你離開家的合理原因了。,0.7739941478,2:1,aligned_ch18.jsonl,1,0.5957148075,KEEP,Accurate and natural literary translation.
"When he moves, the girl’s eyes follow him until he’s south of her body.",他一動，女孩的視線就尾隨著他。,0.6506396532000001,1:1,aligned_ch15.jsonl,91,0.5974280834,KEEP,Accurate and natural literary translation.
Maybe sauce. Maybe paint. Whatever was on the knife was probably the same stuff you got on your shirt.,刀上的東西可能就是你弄到襯衫上的東西。,0.7671750784,3:1,aligned_ch24.jsonl,59,0.5982503295,KEEP,Accurate and natural literary translation.
"there’s no way to tell her in a way that isn’t going to devastate her. You can imagine her sitting the same way she did with your mother, reading To Kill a Mockingbird to you, pouring a glass of water and asking you every now and then if you’re okay.",你能想象她像你母親那樣坐著，給你讀《殺死一隻知更鳥》，給你倒杯水，時不時地噓寒問暖。,0.6986784935,2:1,aligned_ch4.jsonl,42,0.5986201167,KEEP,Accurate and natural literary translation.
"The table is proof she’s already moving on, and at least now you know why she changed your pin number for the online banking and has torn pages from your journal. She doesn’t want you to spend what is now their money, and you must have figured this out earlier and written about it, and she found out and tore out the evidence.",桌子就是證據，表明她已經開始行動了，至少你已經知道她為什麼要更改你網上銀行的密碼，撕掉日記里的兩頁：因為她不想讓你花「他們的錢」。,0.8121066093,2:1,aligned_ch12.jsonl,63,0.5997680426,KEEP,Core meaning preserved with appropriate literary translation.
"No, he’s not—he likes crime writing, but not crime, and how many times has he pointed out the two are very different animals?",不，他不是的，他喜歡寫犯罪小說，而不是真的要去以身試法，他已經多次指出這兩者之間的不同。,0.7962819934,1:1,aligned_ch9.jsonl,116,0.5998447537,KEEP,Accurate and natural literary translation.
"We have to talk about Belinda Murray. Go over again everything that happened today,” he says, and he picks the pen back up and positions it over the notepad.",我們得說說貝琳達·穆雷，再核對一下今天發生的一切。」,0.7542046309,2:1,aligned_ch10.jsonl,96,0.6027933955,KEEP,Accurate and natural literary translation.
"“Of course I know,” he says, staring at her.",「我當然知道。」,0.7067825198000001,1:1,aligned_ch0.jsonl,36,0.6031867862,KEEP,Accurate and natural translation of direct speech.
Couldn’t have been. Then he and Henry can figure out together what they’re going to do to that guy.,他和亨利可以一起收拾那傢伙。,0.6733664274000001,2:1,aligned_ch12.jsonl,278,0.6035599709,KEEP,Accurate and natural literary translation.
You are Henry Cutter.,你是亨利·卡特。,0.8337858915,1:1,aligned_ch17.jsonl,55,0.6037104130000001,KEEP,Accurate name translation with proper rendering.
"You were going to look it up online earlier, but, eye-roll, you can’t remember the password on your computer.",你之前想上網查查，但又忘了電腦的密碼，只能跟屏幕大眼瞪小眼。,0.7556737661,1:1,aligned_ch4.jsonl,31,0.6046093702,KEEP,Accurate and natural literary translation.
"Within a minute Hans is pulling up stories, and there is Suzan with a z, only she isn’t Suzan with a z but Julia with a J and with a face Jerry can remember, a face he can picture when he thinks of the book he put her in, this is the woman he thinks about when he confesses to murder.",在一分鐘內，漢斯編造了如下故事：的確有一個蘇姍，不過她真正的原型是把「朱」寫成「茱」的茱莉婭，她的臉龐讓傑瑞刻骨銘心。他在書中塑造了這個人物，每當想起這本書，他腦海中就會浮現她的那張臉，那麼逼真，那麼活靈活現。每當他承認殺人時，他就會想起這個女人。,0.7612993717000001,1:4,aligned_ch23.jsonl,27,0.6047536731,KEEP,Accurate and rich literary translation preserving core meaning.
"well now, she shouldn’t have said it. Shouldn’t. Have.",聽她這麼說……她不應該這樣說的。,0.7552011609,3:1,aligned_ch27.jsonl,236,0.6048975587000001,KEEP,Accurate and natural literary translation.
"He’s in his office, he’s building the word count, and he’s wrapping up for the day and he needs to make a backup, needs to get those words secure, because to lose a few thousand of them, let alone an entire manuscript . . .",他坐在寫作房裡填滿格子。這天，他結束了一天的寫作，需要做個備份，他要保證這些詞語的安全，不會丟失它們，更不用說整個手稿……作為一個作家，這種事情是斷斷不能發生的。,0.7764129639,1:2,aligned_ch32.jsonl,245,0.6056529284000001,KEEP,Core meaning preserved with appropriate literary adaptation.
The same way you killed somebody whose name you don’t know. “So I did kill her?”,「你還用同樣方法殺死了其他一些不知姓甚名誰的人。」,0.7812536359000001,2:1,aligned_ch15.jsonl,156,0.605733335,KEEP,Accurate and natural literary translation.
"“If this is the place then it would still be there,” she said, still sounding calm.",「如果就是這兒，那應該還在這兒。」,0.7203909159,1:1,aligned_ch5.jsonl,64,0.6058795452,KEEP,Accurate and natural literary translation.
It amused her to screw with him.,這麼擺弄他讓她很開心。,0.7353272438,1:1,aligned_ch15.jsonl,13,0.6067789793,KEEP,Accurate and natural literary translation.
"Since you’re a Let’s guess what happens a third of the way through guy, then you already know it was the knife she found in there.",每當故事演繹到三分之一你就能猜出結果來，所以你已經明白她在口袋裡發現了刀。,0.7040344477,1:1,aligned_ch24.jsonl,46,0.6075804234000001,KEEP,Accurate and natural literary translation.
"Her body was warm and comforting and she smelled amazing, her hair smelled great, she felt fantastic against you, and in that moment you embraced your future.",她溫暖的身體讓他覺得很愜意，她周身散發著迷人的香氣，她的頭髮也很好聞，擁有她的感覺太神奇、太美妙了。,0.7254866362,1:1,aligned_ch20.jsonl,47,0.6077523232,KEEP,Accurate and natural literary translation.
“They keep you updated?”,「他們都告訴你了？」,0.7569617033,1:1,aligned_ch18.jsonl,62,0.6084875464,KEEP,Accurate and natural literary translation.
"You can remember the time Eva got stung by a bee when she was nine years old, which led to her throwing out a plushy bee toy she’d had since she was a baby, plus every one of her children’s books that had pictures of bees in them. You can remember the day your mother called with news dad had died. You can remember teaching Eva to fly a kite, how the string broke, how it disappeared on the wind and you convinced her it was going to head into space, and how every night for the following few weeks she would ask where the kite was now, and you would say it was near Mars, near Jupiter, how it was stuck on the rings of Saturn but working its way free, and she asked how you knew all this and you said NASA would call every night because they were tracking it with one of their giant telescopes.",你能記得伊娃九歲的時候被蜜蜂蜇了，她便把在嬰兒時給她買的一個很貴的萊希蜜蜂玩具扔出房去，還包括裏面的蜜蜂圖畫的兒童圖書；你還記得你媽媽打電話過來說你爸爸去世的那一天；你還記得如何教伊娃放風箏，風箏線斷了，風箏隨風飄去，你對她說風箏飄去了太空。,0.7674270272,3:1,aligned_ch23.jsonl,6,0.6104309559000001,KEEP,Core events and emotional tone accurately preserved.
"if Captain A had steered you into trouble, perhaps he had tried to cover it up?",你心想，如果「阿爾茨船長」想誘導你陷入困境，那麼他會把所有真相都掩蓋起來。也許他已經掩蓋了起來。,0.6628882885,1:2,aligned_ch24.jsonl,27,0.610542357,KEEP,Accurate and natural literary translation with appropriate inference.
"“Because he can’t fake it,” Jerry says.",「因為他不會編造。」傑瑞說。,0.8771421313000001,1:2,aligned_ch22.jsonl,105,0.6105521917,KEEP,Colloquialism accurately captured in translation.
"She called Eva instead and asked her how her lunch went, and asked if anybody else hadn’t shown up.",她打電話給伊娃，問她午餐怎麼樣，問她還有沒有別的人沒有去。,0.8290813565,1:1,aligned_ch24.jsonl,67,0.6107702255,KEEP,Accurate and natural literary translation.
A big Fuck you smile. An I win smile.,一個「去你媽」的微笑，一個「我贏了」的微笑。,0.6977990866,2:1,aligned_ch36.jsonl,121,0.6110295653000001,KEEP,Accurate and appropriate colloquial translation.
"Eva getting married at a church by a graveyard—the failed-to-be horror author can’t help but see the timing of all of this coinciding with the timing of the zombie uprising, the zombies choosing your little girl’s big day for a little big day of their own.",伊娃在墓地旁邊的教堂舉行婚禮，你這個恐怖小說作家真不忍心看到這一天也會成為殭屍的大日子，在女兒的婚禮當天來一場大暴動。,0.6906216145,1:1,aligned_ch17.jsonl,8,0.6113956571,KEEP,Accurate and appropriate literary translation.
Pretend this isn’t real life. “This is real life.”,要假裝這不是真的。」,0.7034245729,2:1,aligned_ch15.jsonl,131,0.6139383316,KEEP,Accurate and natural literary translation.
"She said you’re still going to be in a stage of denial for a while—it’s the shock, you see.",她說，現在你仍舊停留在這一階段，你看，你還是對現狀難以置信。,0.6727352738,1:1,aligned_ch4.jsonl,15,0.6147936583,KEEP,Accurate and natural literary translation.
"Jerry was walking the fields and shitting in the woods of Batshit County, population: Jerry.",傑瑞走在田野里，在瘋人縣的樹林里拉屎。,0.7137378454000001,1:1,aligned_ch35.jsonl,38,0.6159410477,KEEP,Accurate and appropriately colloquial translation.
He says nothing to the policemen—Nurse Hamilton was very specific about that. Say nothing.,他什麼也沒有對警察說，這是漢密爾頓護士特別關照過的。,0.8316702247000001,2:1,aligned_ch9.jsonl,49,0.6166286469000001,KEEP,Accurate and contextually appropriate translation.
"Your wife can’t walk past a cat without wanting to give it a cuddle, she can’t walk past a dog without a Howzzit going boy, can’t watch a chick flick without crying at the end, can’t walk into a mall without buying a pair of shoes, and she can’t imagine what you’re going through even though she gets you, and you can’t imagine a life without her.",你妻子見了貓就忍不住想抱抱它，見了狗就要親一口、道一聲安，見了一隻雞扇動翅膀也會驚喜不已，只要去逛商場至少也要買雙鞋子。她簡直無法想象你正在經歷的一切，而你也不敢想象沒有她的生活。,0.7198020816,1:2,aligned_ch3.jsonl,10,0.6175701618,KEEP,Accurate and natural literary translation with appropriate tone.
"Hans reaches for it, and Jerry goes for the knife. He has a vision of knocking it off the desk, of it skidding over the floor, but no, his hand wraps tight around the handle.",他恍若看到它從桌子上掉落，滑到地板上了，但沒有，他的手正緊緊抓住刀柄。,0.7242698669000001,2:1,aligned_ch36.jsonl,124,0.6179478168,KEEP,Accurate and natural literary translation.
"Which you hadn’t forgotten this time, but were somehow in the process of ruining.",但這次你沒有忘，但一切都弄砸了。,0.6951071024000001,1:1,aligned_ch13.jsonl,46,0.61828655,KEEP,Core meaning preserved with natural literary flow.
"You couldn’t find your shirt. It wasn’t in the laundry, wasn’t in the bathroom, then you thought . . .",你找不到你的襯衫了，不在洗衣房，不在洗手間。,0.8419418931,2:1,aligned_ch24.jsonl,26,0.6183505058000001,KEEP,Accurate and natural literary translation.
"The last thing you remember from yesterday is writing in your journal, hiding it away, and then having a few drinks with the plan of sneaking out the window to find somewhere to have a few more.",你昨天還記得寫日記，記得把它藏起來，喝幾杯酒，計劃鬼鬼祟祟地跳到窗外，找個地方再多喝幾杯。,0.7994379997000001,1:1,aligned_ch24.jsonl,11,0.6184456944,KEEP,Accurate and natural literary translation.
"She said she’d love some feedback, and you know she’s doing this for you, not for her, but to be asked was such a thrill.",你知道她這樣做都是為了你，而不是為了她自己，但她這樣要求你，還是讓你很激動。,0.6674722433,1:1,aligned_ch9.jsonl,9,0.6190797091,KEEP,Accurately captures the intended meaning and tone.
It turns out—and I don’t know if this is more sad or funny—that one of the reasons he asked me to keep a diary is because I confessed to a crime that never happened. I don’t even remember confessing—but he was telling me I’ve been getting a little mixed-up between what is real and what is make-believe.,事實證明——我不知道應該感到悲傷還是可笑——他要我寫日記的原因之一是我會承認虛構的罪行。,0.7546802759,2:1,aligned_ch32.jsonl,7,0.6190900803,KEEP,Core meaning preserved with appropriate literary translation.
“I can just tell. It’s like a secret power.”,「我就是知道，就像特異功能。」,0.7050459385000001,2:1,aligned_ch30.jsonl,98,0.6194814444,KEEP,Accurate and natural literary translation.
He does it for a living. He’s a professional liar.,為了生計，他成了一個專業扯淡的文字騙子。,0.6726640463,2:1,aligned_ch27.jsonl,234,0.6196365356,KEEP,Colloquial and appropriate literary translation.
"“Soon his wife is going to start wondering where he is, then she’s going to start phoning around, and in a few hours she’ll probably be calling the police. They’re going to make the connection pretty quickly since both of you have gone missing,” Hans says.",漢斯說，「他的老婆很快就會開始懷疑他去了哪裡，她會打電話的，幾個小時后她可能會報警。,0.8500068188000001,2:1,aligned_ch30.jsonl,60,0.619869411,KEEP,Core meaning preserved with natural literary flow.
I think that if I could make it back home to where I used to live I would do better there.,我認為如果我能回到我過去居住的地方，將更有利於我的恢復，我是不會在這個陌生的地方恢復的。,0.8172929287,1:1,aligned_ch31.jsonl,35,0.6201968789,KEEP,Core meaning preserved with natural literary translation.
"You had no money, and like the last time you had gone to her house, you were confused.",像上次去她家一樣，你神志不清，茫然不解。,0.666975379,1:1,aligned_ch27.jsonl,51,0.6208337545,KEEP,Accurate and natural literary translation.
The wedding is less than five weeks away and you can’t wait until it’s in the rearview mirror.,婚禮還有不到五個星期了，簡直迫在眉睫，但你還是等不及了。,0.7135027647000001,1:1,aligned_ch9.jsonl,18,0.6227000356,KEEP,Accurate and natural literary translation.
You’re restocked with alcohol. More good news—Hans confirmed you never bought a gun.,另一個好消息：漢斯證實了你從來就沒買過槍。,0.8191194534,2:1,aligned_ch6.jsonl,45,0.6229535937,KEEP,Accurate and natural literary translation.
"Bring it on, Captain A. Do your best.",來吧，「阿爾茨船長」。你會儘力而為。,0.6792406440000001,1:2,aligned_ch16.jsonl,28,0.6256237626000001,KEEP,Accurate and natural literary translation.
"He closes his eyes and he focuses, focuses, and he takes himself back to Suzan with a z, Suzan with her black hair tied into a ponytail, Suzan with a sexy smile and a great tan and an unlocked door at three in the morning.",他閉上了眼睛，定氣凝神，把遊離的思緒拉回來，重新回想那個會把「珊」寫成「姍」的蘇姍。那個蘇姍會將一頭烏髮紮成一個馬尾辮，皮膚曬得黑黝黝的，臉上洋溢著迷人的微笑。即便是凌晨三點，蘇姍也不會將門上鎖。,0.7411459684,1:3,aligned_ch0.jsonl,13,0.6270496249,KEEP,Accurate and rich literary translation with preserved imagery and tone.
"The truth is if you were counting the days she had ever been mad at you, you’d be up somewhere around five thousand by now (that’s a joke, Jerry—I hope you’re laughing!).",要是你數一數她對你大動肝火的日子，說不定你會發現真是時光荏苒、滄海桑田（這是個玩笑，傑瑞，我真希望你笑！）。,0.7554380894,1:1,aligned_ch3.jsonl,17,0.6279116869,KEEP,Accurate and appropriate literary translation with cultural nuance.
"His grip is sweaty. At the same time a cat appears in the doorway, a longhair tortoiseshell that pushes itself against Jerry’s legs before doing the same to Nurse Hamilton.",這時一隻長毛家貓出現在門口，它蹭了蹭傑瑞的腿，又去蹭了蹭漢密爾頓護士的腿。,0.7204535007,2:1,aligned_ch12.jsonl,110,0.629124403,KEEP,Accurate and natural literary translation.
"Jerry remembers coming home from university that day, the police cars on his street, his parents telling him what had happened. Suzan was gone and it didn’t make sense how life could end so easily. That’s the balance, he realizes.",傑瑞還記得，那一天他從大學回家，看見街頭停著警車，他的父母告訴了他一切：蘇姍死了，生命如此脆弱，卻連一點兒預兆也沒有。,0.8131293058,3:1,aligned_ch4.jsonl,122,0.6293792129,KEEP,Accurate and natural literary translation.
"Her foot goes into the garden off to the side, she stumbles, holding onto the hockey stick to try and keep her balance, and suddenly he realizes what’s about to happen.",她的腳陷入花園草地，打了個趔趄，差點兒絆倒了。她抱著曲棍球棒想保持平衡，突然他意識到即將發生什麼，雖然她很煩人，但他不希望看到她摔在地上，弄破腦袋。,0.7154622078,1:2,aligned_ch27.jsonl,238,0.6295429468,KEEP,Core meaning preserved with natural literary flow.
He puts the knife on the edge of the desk and goes back to the hole. He closes his hand around some loose pages.,他把刀放在桌邊，回頭繼續摸索，他抓到了一些零散的紙片。,0.708714366,2:1,aligned_ch33.jsonl,156,0.6295838356,KEEP,Core actions and sequence accurately conveyed.
"When Mrs. Smith comes over later, just smile at her, and tell her how much fun you had ruining her pride and joy.",後來，史密斯太太來了，你沖她微笑，告訴她毀了她為之驕傲和喜悅的玫瑰是多麼有趣。,0.8255053163,1:1,aligned_ch34.jsonl,16,0.6296812892,KEEP,Accurate and natural literary translation.
You found the spray can later that night.,就在那天晚上，你找到了噴漆。,0.8141225576000001,1:1,aligned_ch10.jsonl,38,0.6299123764,KEEP,Accurate and natural literary translation.
He stands so suddenly that he knocks the table and tips over his glass of orange juice.,他停得太突然，撞到了餐桌，打翻了橙汁。,0.7887477279,1:1,aligned_ch3.jsonl,76,0.630189538,KEEP,Accurate and natural literary translation.
"That was forgetting. He pushes away from the table and throws up on the floor, the vomit splashing and hitting his shoes.",他猛地推開桌子，衝著地板一陣嘔吐，穢物亂濺，弄到他的鞋上了。,0.7907677889,2:1,aligned_ch10.jsonl,92,0.630612731,KEEP,Accurate and natural literary translation.
"“It’s your nosy neighbor,” he says.",「是你的八卦鄰居。」,0.7659261227,1:1,aligned_ch36.jsonl,77,0.6308802366,KEEP,Accurate and natural literary translation.
"“These people you think you killed, it just didn’t happen. Nobody in your street was murdered. You never snuck into anybody’s house and killed them.",你家的街道上沒有人被殺害，你也沒有溜進別人家殺害他們。,0.7393515110000001,3:1,aligned_ch6.jsonl,115,0.6312826872,KEEP,Accurate and natural literary translation.
But then . . . how would . . . the timeline doesn’t . . .,但是之後……怎麼會……時間上也不對……,0.8587414026,3:1,aligned_ch0.jsonl,139,0.631552577,KEEP,Accurate and natural literary translation.
"“The house was sold, Jerry. Nine months ago,” she says, staring ahead at the road.",「房子賣了，傑瑞，九個月前。」,0.8387042880000001,2:1,aligned_ch1.jsonl,90,0.6317315102000001,KEEP,Accurate and natural literary translation.
It was really nice to just talk about something other than the insanity bomb waiting to detonate at some point in the future.,有事兒可談挺好的，總比等著某個隱秘的炸彈爆炸好。,0.6589567661,1:1,aligned_ch4.jsonl,8,0.6331305504,KEEP,Accurate and natural literary translation.
"He decides to give it a few minutes in case Hans calls back, which is exactly what happens.",他決定再等幾分鐘，等漢斯回撥過來。他真的回電了，他接起電話。,0.7605064511,1:2,aligned_ch17.jsonl,83,0.6335686445,KEEP,Accurately captures the sequence and intent.
"Writing about her wasn’t enough, which is why you went over and ripped out every single rose in her garden, roses she was so proud of.",寫她還遠遠不夠，這就是你要毀掉她花園裡每一朵玫瑰花的緣故。那些玫瑰令她無比驕傲，她每天都會細心檢查一番。,0.7793120742,1:2,aligned_ch34.jsonl,8,0.6347627640000001,KEEP,Accurate and appropriate literary translation with added context.
He sits on the edge of his bed and he rubs his eyes and stretches his legs and stretches his back and hears something click into place.,他坐在床邊，揉了揉眼睛，甩了甩腿，又伸了個懶腰。,0.7164031267000001,1:1,aligned_ch3.jsonl,51,0.6349132061,KEEP,Accurate and natural literary translation.
