src,mt,labse_score,type,source_file,line_idx,comet_score
"It says short story, because it’s fiction, because it’s made up, because that’s what he and Henry do—they are makeup artists. And in this case, one of those makeup artists has gotten carried away with things, but that’s Henry’s thing, the same way Hans’s thing is picking locks (maybe) and killing women (maybe) and how Jerry is a dessert guy (definitely). But it’s also Henry’s thing to find the truth in a lie. It could have gone that way.",既然是這樣，那就是亨利因一時興奮而忘乎所以，缺乏對事情的謹慎思考，就像亨利發現了漢斯撬鎖（可能）和殺害女人（可能），以及傑瑞愛吃甜點（絕對）。,0.6809951066970825,4:1,aligned_ch35.jsonl,57,0.4661073386669159
"Everybody was accounted for. Even Rick’s best man who had put the video online, and if you were going to stab anybody to death it would have been him. It should have been him.",她說大家都到齊了，包括瑞克最好的朋友，正是他最好的朋友把視頻傳到網上的。,0.6517088413238525,3:1,aligned_ch24.jsonl,68,0.4664387106895447
All authors must be.,所有作家都很好奇。,0.6787838935852051,1:1,aligned_ch9.jsonl,184,0.46660539507865906
"“I need the journal to know . . . to know I didn’t . . .” he says, then he tries to reach deeper into the hole, jamming his shoulder against the floor so hard that it hurts.",「我需要找到日記弄清楚……弄清楚我到底有沒有……」他說著伸手朝暗格的深處探去，肩膀頂在地板上，生疼生疼的，「我需要知道，到底是不是我乾的。」,0.8080141544342041,4:1,aligned_ch12.jsonl,270,0.46710070967674255
Because of that?”,因為婚禮？」,0.7211394309997559,1:1,aligned_ch10.jsonl,107,0.4677158296108246
"“Can I—” the man says, but that’s all he says, because then he stops and stares at Jerry. “You’re Henry Cutter,” he says, and gives a huge smile before thrusting his hand out so fast Jerry almost jumps back.",「我能——」男子說，忽然盯著傑瑞頓住了，「您是亨利·卡特！」,0.680284857749939,2:1,aligned_ch12.jsonl,107,0.47138211131095886
"You can’t say you didn’t kill Belinda Murray because you’d have felt it if you did, then say you can’t remember shooting your wife when we know for a fact that you did.”",「畢竟，你會有感覺的，對吧？這是你說的。傑瑞，這就是我所說的情節漏洞。你不能說你沒有殺死貝琳達·穆雷，因為你殺死了她，而你已經感覺到了。,0.7310066223144531,1:4,aligned_ch9.jsonl,211,0.4723717272281647
"You must have, really, and Sandra is dead in your office and.",真的，桑德拉死在你的寫作房裡。,0.7937154769897461,1:1,aligned_ch28.jsonl,11,0.4743787348270416
But the fact of the matter is you are a makeup artist. Technically. Or were—because now you have a ghost makeup artist tapping those keys on your behalf.,移民不是笑話，但從技術層面來說，你就是一個擅長編造的藝術家啊。或者說，曾經是，因為你現在已經被一個擅長編造的幽靈藝術家鳩佔鵲巢了。,0.7181798219680786,3:1,aligned_ch20.jsonl,24,0.47447535395622253
"“We don’t know that,” he says, not wanting to look at her.",「我們不知道是誰的。」他說，不想看著她，「我喜歡穿短褲和短袖。,0.7047674655914307,1:2,aligned_ch12.jsonl,255,0.4799603521823883
“If they don’t what?”,「如果他們不什麼？」,0.9661263823509216,1:1,aligned_ch32.jsonl,188,0.48042264580726624
"Right now he feels like the man he used to be. Not all the details are there, and he still can’t figure out what he did to make Sandra divorce him, but there’s more there than what there’s been of late, he’s sure of that.",但還有些片段有些模糊不清，他還是不知道他到底做了什麼讓桑德拉要和他離婚。,0.6575360894203186,2:1,aligned_ch9.jsonl,121,0.4813476800918579
"Oh you do, do you?",「哦，是你乾的，對吧？,0.7249480485916138,1:1,aligned_ch15.jsonl,109,0.4821905195713043
It was ticking away the amount of time Belinda had been dead. It was ticking away the final moments of your life too.,她打電話時，一直背對著你，你看著時鐘嘀嘀嗒嗒地走著，貝琳達人生的最後時刻已經消逝，你人生的最後時刻也已經消逝。,0.7241700887680054,2:1,aligned_ch25.jsonl,35,0.48365285992622375
"He looks at the picture. The woman in the photograph is the same woman talking to him. In the photograph she’s sitting on a couch holding a guitar, a big smile on her face, and the man in the photograph sitting next to her is Jerry, it’s Jerry a year ago, back when all he was forgetting were his keys and the occasional name, back when he was writing books and living life.",他注視著照片，照片中的女人正是此刻跟他說話的女人，她正坐在沙發上，抱著吉他，燦爛地笑著。,0.7702605724334717,3:1,aligned_ch0.jsonl,159,0.4846952259540558
“Of course you would.,「你當然會的，也會在你書中找到的。,0.6938350200653076,1:1,aligned_ch9.jsonl,143,0.4857273995876312
"Something is hinky, according to Henry. Out of whack. And not just Alzheimer’s hinky. Only Henry can’t figure it out.",亨利還說，有些東西他也說不清楚，不只是阿爾茨海默病的緣故。,0.6802343726158142,4:1,aligned_ch34.jsonl,72,0.4859867990016937
They’re all in on it.,「他們都在。」,0.6873958110809326,1:1,aligned_ch20.jsonl,220,0.4906916916370392
Today is a Jerry is Jerry day.,今天是傑瑞清醒的好日子。,0.7346022129058838,1:1,aligned_ch33.jsonl,3,0.4913838803768158
“You keep scratching it.”,「你一直在抓你的胳膊。」,0.7235151529312134,1:1,aligned_ch19.jsonl,151,0.49152010679244995
Fucktard on your letterbox?,有人在你的信箱上噴了「雜種」？,0.6928293108940125,1:1,aligned_ch10.jsonl,18,0.4927133321762085
"It’s cool too. He looks down at the phone, but doesn’t recognize it. Where has he been?",他低頭看著手機，但他認不出是誰的。,0.6817878484725952,3:1,aligned_ch27.jsonl,118,0.49306467175483704
It’s a journal. The police were at the door.,警察走到門口。,0.6624695062637329,2:1,aligned_ch13.jsonl,63,0.4945925772190094
"Jerry eats his lunch by the window, where he can look out at the trees bordering the ground. They go for miles in most directions. There are lots of roses and daffodils everywhere, and some of the folks who wander the corridors of the nursing home are pulling weeds and soaking up the spring sun.",傑瑞在窗旁吃飯，在這裏他可以看到綿延不止的樹林，四處綻放著玫瑰和水仙。,0.7004037499427795,3:1,aligned_ch4.jsonl,73,0.4948030114173889
"Sandra has been fucking people. Lots and lots of people, including my good friend Hans who’s right here, everybody, Jerry says, and points at his friend.",「桑德拉一直跟人亂搞，跟很多很多人，包括我的好朋友漢斯。,0.7336630821228027,2:1,aligned_ch20.jsonl,102,0.49483686685562134
"“I found her that way, but I didn’t do it.",「我看見她那個樣子……但不是我乾的。,0.7614932060241699,1:2,aligned_ch18.jsonl,81,0.4954874813556671
"There are couches and coffee tables and some people are talking, some are reading books, others are just staring ahead, lost in a thought either real or imagined, confused or not, chasing down a memory they can’t quite grab. There are wheelchairs parked against walls and crutches parked against couches.",這兒擺放著沙發和咖啡桌，有人在聊天、看書，還有人凝望著前方，或為現實中雞毛蒜皮的事紛擾，或沉浸在臆想里紛飛，表情或茫然或堅毅，追憶著他們的似水流年。,0.7926984429359436,2:1,aligned_ch6.jsonl,82,0.49576833844184875
If there’d been a match in the system it would have come up eleven months ago.,如果在系統中比對成功，他們早在十一個月前就該找你了。,0.7011928558349609,1:1,aligned_ch10.jsonl,172,0.49683329463005066
"She stared at you then, and finally you got it. She wasn’t deciding whether or not to call the police, she never had been. Sandra was giving you another option, an option that, under the circumstances, shows just how much she still loves you.",桑德拉給了你另一種選擇，那就是即使在這種情況下也要表明她到底有多愛你。,0.7306317090988159,3:1,aligned_ch26.jsonl,41,0.4987853467464447
Naturally she came over and banged on your door.,她走了過來，「砰砰砰」地拍你的門。她當然會來拍的。,0.7672110795974731,1:2,aligned_ch10.jsonl,15,0.5015188455581665
"She is somebody he used to know. An actual person. He can’t remember her real name, but she was a neighbor when he was a teenager, until she was no longer his neighbor because her ex-boyfriend killed her.",她曾是真實存在過的，他認得她，但記不得她的真實姓名了。,0.6657729148864746,3:1,aligned_ch4.jsonl,119,0.502317488193512
"Derek (it’s actually Eric, but I’ve come to think of him as a Derek) told me this morning it’s been eight months since I checked in.",德里克（實際上是艾瑞克，但我總覺得他是德里克）今天上午告訴我我住進療養院已經八個月了，我算了一些，是999000天，不到100萬。,0.7184423208236694,1:2,aligned_ch33.jsonl,1,0.5051412582397461
"There are so many shops, so many ways to turn, so many people around him as he walks. He can’t figure out how to get back to the bathroom, not right away, and by the time he does his ten minutes are up and Hans is ringing him.",這麼多商鋪、這麼多轉彎、這麼多人，他全然不知該怎樣回到洗手間了。,0.6860489249229431,2:1,aligned_ch17.jsonl,110,0.505579948425293
It’s . . . but he can’t get there.,這是……但他想不起來了。,0.7908139228820801,2:1,aligned_ch0.jsonl,123,0.5060962438583374
"“We’re committed, buddy, and we’ve come too far to turn back now.” “You’re kidding.”",「我們是一根繩上的螞蚱了，夥計，我們已經騎虎難下了。」,0.6550777554512024,2:1,aligned_ch30.jsonl,85,0.506165623664856
"Let me describe it for you. Jerry Grey. At the stage and to his right the wedding table, and at the table are the wedding party, Rick and Prick and the groomsmen, Eva and her bridesmaids, glasses of wine and plates and flowers, and to Jerry’s left the band, and next to Jerry the emcee with the smile on his face, the kind of guy who was just going with the flow, the kind of guy who looked like he’d still be emceeing while the ship went down—and that is what happened, isn’t it?",讓我為你介紹吧，傑瑞·格雷站在舞台上，他的右邊是婚禮桌，桌旁坐著瑞克、普瑞克和伴郎以及伊娃和她的伴娘，桌上擺著幾杯葡萄酒、盤子和鮮花。,0.7997716069221497,3:1,aligned_ch20.jsonl,72,0.5062037110328674
"“. . . he was committed to after the murder of Sandra Grey, his wife . . .” You murdered your wife.",「他殺死了桑德拉·格雷——他的妻子——之後……」,0.8604427576065063,3:1,aligned_ch17.jsonl,58,0.5068249106407166
“I’m a shorts and a T-shirt guy. I only wear them on formal occasions.”,我只在正式場合穿那些。」,0.704261064529419,2:1,aligned_ch12.jsonl,256,0.5072552561759949
"“Everything I could remember back then that I can’t remember now. I wasn’t writing in it every day, but I wrote in it plenty.",不是每天都寫，但我寫了很多。,0.652354896068573,2:1,aligned_ch20.jsonl,189,0.5083344578742981
She looks concerned. Patient but concerned.,她看起來很憂慮，即便耐心的外表也掩蓋不了。,0.7044259309768677,2:1,aligned_ch0.jsonl,130,0.511269211769104
"“She is, Jerry.",「她是死了，傑瑞。,0.8360450863838196,1:1,aligned_ch9.jsonl,242,0.5117542743682861
"I was there, but I didn’t do it.”",我是在那裡，但不是我乾的。」,0.8233519792556763,1:1,aligned_ch18.jsonl,98,0.5126256942749023
“Gary has it.”,「在加里那裡。」,0.7641351222991943,1:1,aligned_ch22.jsonl,85,0.5127250552177429
"She was over again this morning. She’s taking a couple of days off work, and Sandra is taking a few weeks off for me, and today they spent their time talking nonstop about the wedding.",她請了幾天假，今天上午過來了，桑德拉也請了幾個星期假來陪你。,0.7397803068161011,2:1,aligned_ch3.jsonl,38,0.5141872763633728
"Eric says, while Terrance stands still, looking stunned. “He killed Sandra so he could steal my journal,” Jerry shouts, and then he picks up the screwdriver from the desk. He lunges with it towards Terrance, who jumps back.",傑瑞喊著，接著他從桌上拿起螺絲刀，朝著特倫斯刺去，特倫斯趕緊往後一跳。,0.6733129024505615,3:1,aligned_ch12.jsonl,296,0.5149556994438171
"“Of course I remember. It’s Henry Cutter,” he says, but that doesn’t feel quite right.",「我當然記得，我是亨利·卡特。」,0.7313086986541748,2:1,aligned_ch5.jsonl,135,0.5156241059303284
“You think I did it?”,「你覺得是我乾的？」,0.8488033413887024,1:1,aligned_ch18.jsonl,142,0.5162972211837769
"Why would they be? You’re dying and they’re buying new cars and boats and it’s billable hours, baby, billable all the way.",你就要死了，而他們卻拿著你的酬勞購置新的寶馬香車，約見都是要計費的，寶貝，每分每秒都在計費。,0.6547070145606995,2:1,aligned_ch6.jsonl,51,0.5164772272109985
For the first time he feels like he’s on track.,他第一次覺得他離題了。,0.77675861120224,1:1,aligned_ch20.jsonl,236,0.5165145397186279
"And the crowd went wild, didn’t they? The video online has now had 3,981 hits.",現在，網上視頻的點擊量為3981次了，傳播速度驚人。,0.6679490804672241,2:1,aligned_ch20.jsonl,68,0.5168938040733337
"The morning was hot. It’s not even summer yet, but if today is anything to go by, then the city is going to blister and burn.",雖然還沒到夏天，但上午就很熱了。,0.7072255611419678,2:1,aligned_ch20.jsonl,18,0.5173671841621399
"Another neighbor—some old tart who turned a hundred years old the same year the Titanic sank—saw you, and you thought . . .",毀花時另一個鄰居看到了你。她是個放蕩的老婊子，泰坦尼克號沉沒那年出生的，現在得有一百歲了。,0.7441120147705078,1:2,aligned_ch34.jsonl,10,0.5199755430221558
“Why doesn’t it work that way?”,「為什麼沒用？」,0.8157858848571777,1:1,aligned_ch1.jsonl,143,0.520195722579956
"Hans turns the gun to the side so he can look at it, as if the problem will be visible, and as he does this Henry speaks up.",漢斯把槍偏向另一邊，所以他可以看個究竟。,0.6792472004890442,1:1,aligned_ch36.jsonl,107,0.5208906531333923
"“If that was true, then why are you looking for it?” he asked.",「如果你說的話是真的，那麼你為什麼還要到處亂翻？」他問，「我為什麼沒有直接把它交給你？」,0.7727921605110168,1:2,aligned_ch15.jsonl,26,0.5223874449729919
"Thank God you’ve had all this work to do because really you’ve just been able to stay out of the way, which is probably the best gift you can give your family.",感謝上天，繁重的工作是你可以給家人們的最好禮物了。,0.6727092862129211,1:1,aligned_ch9.jsonl,17,0.5230404138565063
"The people wanted to be heard. It was a big talking point in what was an election year, and the result of that is it’s been voted back in, and the government agreed to do the will of the people. It hasn’t been enforced yet, but you trying to get away with this today, people are going to think you’re of sound mind and, therefore, you’re going to be a pretty good candidate for the noose.",人們希望有發表意見的權利，在大選年這就成了人們談論的焦點，結果就是人們投票要求恢復死刑，政府順從民意，不過還沒有強制執行過。,0.7433876395225525,3:1,aligned_ch20.jsonl,125,0.5235251784324646
"You started bitching at the bartender, asking him what kind of bar it was, and he said the kind of bar where people who complain get their teeth kicked out.",他們的杜松子酒賣完了，你就對酒吧服務員罵罵咧咧的，質問他這是什麼爛酒吧，結果服務員說誰要沒事找事就打碎誰的牙齒。,0.6856815218925476,1:1,aligned_ch32.jsonl,197,0.5243803858757019
"“Unless I did confess,” Jerry says.",「除非我真的坦白了。」傑瑞說，「我會坦白是因為我做了，要麼就是我把新聞里發生的誤當成我做的。」,0.701622724533081,1:2,aligned_ch25.jsonl,122,0.5244855284690857
"An angry joke because, let’s face it, Future Jerry, you are exceptionally angry.",因為，未來的傑瑞，你終究是要面對它的，你滿懷怒火。,0.6929875612258911,1:1,aligned_ch1.jsonl,44,0.5258470177650452
“So let’s say you did walk.,「所以我們可以先假設你沒有走進城裡。,0.6993813514709473,1:1,aligned_ch24.jsonl,200,0.5269941091537476
"I’ve been flicking through the journal and seeing I’ve been piling crazy on top of crazy, and among some of those entries is evidence that Henry has been coming out to play.",我一直在寫日記，看到我瘋狂狀態的巔峰是什麼樣子，其中一些語句可以看作是亨利佔據我身體的證據。,0.6550118923187256,1:1,aligned_ch33.jsonl,9,0.5271974205970764
“All that for a knife that got left behind?”,「這一切就是因為我落下的那把刀？」,0.7833344340324402,1:1,aligned_ch19.jsonl,238,0.5272403359413147
"“Wait here a minute,” Tim says, and he steps out of the room.",「稍等一下。」蒂姆走出了房間，三十秒后他回來了，帶回一個門警。,0.7306985855102539,1:2,aligned_ch10.jsonl,150,0.5276739001274109
"Remembers the layout. His mind is becoming warm, the vodka and juice flowing through all the neural pathways in his brain, quickly fogging his thoughts the way it will to somebody who hasn’t touched a drop of alcohol in nearly a year, but it’s clearing things in other areas as those thoughts link across time, the way alcohol can do that, linking images, dragging out the random, and he’s back in his study where he’s pouring himself a drink, and those bottles of gin . . .",他記得它的構造與布局，他感到一股股暖流湧上大腦，伏特加和果汁湧進大腦的所有神經通路，迅速模糊了他的思維，對於一個近一年沒有碰過一滴酒精的人來說，這種作用尤為明顯。,0.7693774700164795,2:1,aligned_ch32.jsonl,228,0.5277265310287476
"If Hans isn’t to be trusted, if the author with the Alzheimer’s monkey on his back is to be believed, then standing in the doorway isn’t the way to go about finding an answer to all this.",如果漢斯不值得信任，那麼得了阿爾茨海默病的作家也不值得信任。站在門口是找不到答案的，也無法面對他的朋友，他坐回桌子後面，拿起日記。,0.6756227016448975,1:2,aligned_ch32.jsonl,44,0.5289620757102966
"It’s going to remind me of the man I used to be, and most of all it will remind me of my loss. Aside from those two things, it’s also going to document how crazy I’ve been and how much more crazy there is to go.",除了這兩件事情，它還將記錄我以前有多麼瘋狂，今後會有多麼瘋狂。,0.6972788572311401,2:1,aligned_ch31.jsonl,15,0.5298832654953003
“What are you—”,「你要——」,0.7817670702934265,1:1,aligned_ch26.jsonl,132,0.530285656452179
"You can’t go wrong with shoes, Future Jerry, no matter what the occasion.",鞋子不能將就，未來的傑瑞，無論在什麼場合都不能將就。,0.7871890068054199,1:1,aligned_ch13.jsonl,79,0.53214031457901
"She came and picked you up, and she spotted it on the way out of the parking lot exactly where you had left it, and you, well, you’d been looking for the car you used to own five years prior to that. You both had a good laugh about it. A concerned kind of laugh.",桑德拉過來接你，就在兩人離開停車場的路邊，那輛你苦苦尋覓了半天、開了五年的車正毫髮未損地停在那裡，那兒就是你之前泊車的地方。,0.6927725076675415,3:1,aligned_ch2.jsonl,20,0.5322520136833191
"So there you go, Madness Journal. Another bullshit day out of the way on this road to . . .",「狂人日記」啊，另一個狗屁日子即將到來了，會是在哪一天呢？,0.6595436334609985,2:1,aligned_ch34.jsonl,18,0.5328527092933655
"well, they were scheduled to go in the same day she died.",嗯，原計劃安裝警報器的那一天，她死了。,0.6798031330108643,1:1,aligned_ch10.jsonl,122,0.5331059098243713
"“I think people are already on their way,” Jerry says.",「我認為那些人已經在路上了。」傑瑞說，「其中一個人手上打著石膏，對吧？」,0.7547416687011719,1:2,aligned_ch26.jsonl,114,0.5331313014030457
He wonders . . . why is he here? He wonders . . . where is here?,他想知道，他現在在哪裡？,0.6698838472366333,4:1,aligned_ch15.jsonl,70,0.5333017706871033
"Seeing that knife told you that as bad as the WMD had been, you had managed to top it. It put the bloody shirt into a different context. Jerry? I don’t know.",看著眼前這把刀，你心裏很清楚，這跟搞砸婚禮一樣糟糕，你本來應該給它配上刀套的，它的存在讓帶血的襯衫有了不同的意義。,0.6686254739761353,4:1,aligned_ch24.jsonl,51,0.5333880186080933
He goes by Henry Cutter.,他是亨利·卡特。,0.6776050329208374,1:1,aligned_ch24.jsonl,33,0.5336935520172119
"By this time Captain A was releasing the reins a little, and you were becoming equally aware and embarrassed of the situation.",此時，「阿爾茨船長」鬆開了纜繩，讓你縱情地想象，你忽然懂得了何為世故人情，面對眼下這個情形有些尷尬不安。,0.6540300846099854,1:1,aligned_ch18.jsonl,20,0.533750593662262
"“I’m in trouble,” Jerry says, the words falling out of him, the sense of relief almost overwhelming.",「我有麻煩了。」傑瑞說。,0.656291663646698,1:2,aligned_ch17.jsonl,85,0.5338852405548096
"I’m going to write in it when I remember to, which . . .",我記得時，我就要寫，,0.7947280406951904,1:1,aligned_ch31.jsonl,17,0.5358322262763977
He’d work on his birthday. He’d even let Henry Cutter out of the bottle for an hour or two on Christmas Day to get those thoughts down.,聖誕節那天，他也會和亨利·卡特討論個把小時，把一些想法記錄下來。,0.6670138239860535,2:1,aligned_ch32.jsonl,243,0.5359012484550476
You’re too close to it. Too emotional. I can give you the truth in a nicer way.”,我可以以一種更好的方式讓你了解真相。」,0.665878176689148,3:1,aligned_ch33.jsonl,143,0.5360432267189026
"She’s in her fifties now, but by the time she’s sixty they’ll surely have snapped her spine in half.",她現在五十多歲了，等到六十歲時，她的一對乳|房能把她的脊椎扯成兩半。,0.7377668619155884,1:1,aligned_ch4.jsonl,10,0.5366555452346802
"“People don’t read my books and think, Hey, that’s a great idea, let me try that,” he says, and then he realizes that Mayor probably knows all this already and is just trying to bait him into slipping up.",「人們讀過我的書後不會想：這想法不錯，也讓我試試。」,0.7282607555389404,1:1,aligned_ch9.jsonl,122,0.5371689796447754
"“Which you’ve had access to,” Hans counters.",「你看他的電腦了？」漢斯說。,0.671589195728302,1:1,aligned_ch32.jsonl,120,0.5372734665870667
"“I found it taped under the bottom drawer,” Hans says.",「我發現這些粘在抽屜底部。」漢斯說，「這個該死的業餘殺手。」,0.7714245319366455,1:2,aligned_ch32.jsonl,80,0.5381021499633789
"That was breakfast—not the healthiest, but she never had been the healthiest when it came to eating, which is why she hit the gym three days a week before work —four, if there was time—and time, she thought, was something she wouldn’t have much of while Jerry was sick.",不過說到吃的，她也不吃那些，所以上班之前她總會去一趟健身房，每周三天，要是有空就四天。不過自打傑瑞患病以來，她的生活就再也沒有「有空」一說了。,0.7413427829742432,1:2,aligned_ch5.jsonl,13,0.5382259488105774
"It’s a story, he thinks. Just a story, prefaced with the words A short story. It doesn’t say A short essay. It doesn’t say A witness statement.",這隻是一個故事，他心想，只是一個故事，開頭就寫著「短篇小說」，並不是紀實，不是證詞，只是短篇小說而已，這是他們編造的，是虛構的，是他和亨利的「傑作」——他們本來就是編造的藝術家。,0.7214605808258057,4:1,aligned_ch35.jsonl,56,0.5385534167289734
"You thought you’d hold a cake-loaded fork up to your nose, wave it around a few times, go hmm, a hint of flour, a hint of . . .",你心想你會用叉子叉起一塊蛋糕貼近鼻子，晃來晃去，嘴裏說著：「嗯，一點點麵粉，一點點……可可粉？是肉桂？」晃一晃，嗅一嗅，再咬一口，品一品，最後吐到餐巾上。,0.8113166093826294,1:3,aligned_ch13.jsonl,6,0.539449155330658
"We don’t know that, you said, hoping it might be something else.",「我們不知道。」你說。希望它能變成別的什麼東西，或者醬油，或者顏料。,0.6893391609191895,1:3,aligned_ch24.jsonl,58,0.5397599935531616
"I blame cell phones,” he says, and he waits for her to nod and agree, but she doesn’t, nor does the cop holding up the wall.",現在的人們喜歡以各種千奇百怪的方式寫字，我把這一切都歸咎於手機。」他等著她點頭同意，但她沒有，男警察也只是靠著牆壁，毫無表示。,0.6808165311813354,1:2,aligned_ch0.jsonl,10,0.5401574969291687
"“It’s my office,” Jerry says, somewhat disturbed Terry would have kept it the same way.",「這裡是我的寫作房。」傑瑞說。特里把這兒保持原樣真是不容易，像是一個聖地。「這裡是我的寫作房。」,0.7311912775039673,1:4,aligned_ch12.jsonl,164,0.5405756831169128
"He pulls the board away and hands it to Hans, and then . . .",對面的牆角突然彈出來。他把板子扯下來交給漢斯，然後……,0.7275943756103516,1:2,aligned_ch33.jsonl,119,0.5405806303024292
"“It’s a journal,” Jerry says, “and yes.”",傑瑞說：「哦，是的。」,0.6887898445129395,1:2,aligned_ch35.jsonl,167,0.5407671928405762
"He’s wearing glasses that make his eyes look smaller, like looking backwards though a pair of binoculars, and has a summer tan even though it’s spring, which means it’s either paid for or he’s just back from an overseas holiday.",他戴著一副眼鏡，眼睛像是躲在望遠鏡的後面，顯得更小了。他戴著一頂太陽帽，如同剛從國外度假回來。,0.6544309854507446,1:2,aligned_ch10.jsonl,69,0.5408874154090881
"“In the garage,” Jerry says, and he can remember it, can remember a tarpaulin beneath a bench, covering the gap behind the chain saw and the circular saw, and that was where he hid them, behind renovating tools that belonged to a much younger version of Past Jerry, back when Eva was a small girl and his books were still to be given life.",「在車庫裡。」傑瑞說，他還能記得車庫裡的長凳下面，在鏈鋸和圓鋸後面，有一塊防水帆布，他就把酒藏在那裡，這是屬於更加年輕時候的傑瑞的密室。,0.8098498582839966,1:2,aligned_ch32.jsonl,206,0.54207444190979
He stops drumming his fingers.,他看著遠處，手指停止了敲擊。,0.6567633748054504,1:1,aligned_ch18.jsonl,126,0.5421955585479736
"She’s a— And that’s as far Jerry gets, because then Hans is dragging him off stage, actually dragging him from the collar of his funeral suit, the back of Jerry’s feet sliding over the floor, and people are standing up, and somebody says in a high-pitched voice, holy shit, holy shit, holleee shit, and there’s Sandra, storming off, and Rick hugging his new wife, and Jerry still ranting away, bitch, slut, whore, all of it coming from his mouth.",傑瑞指著他的朋友說，「她想把我送進療養院，她好跟麵包師私奔。她是一個……」傑瑞說到這兒就停住了，因為漢斯已經在把他往舞台下拖，他拽著他禮服的衣領，傑瑞的腳在地板上滑動，人們都站了起來，有人高聲叫嚷著：「狗屁，胡說八道，胡說八道。」桑德拉猛地沖了過來，瑞克擁抱著他的新婚妻子，傑瑞仍然在咆哮，嘴裏不停地叫嚷著：「盪|婦！,0.6933104991912842,1:3,aligned_ch20.jsonl,103,0.5423556566238403
What hiding place?,「什麼暗格？」,0.6576378345489502,1:1,aligned_ch10.jsonl,30,0.5426530241966248
"“No you’re not,” he says, and he opens the jacket to reveal his bloody shirt. “I didn’t do it.",他說著解開外套，露出血淋淋的襯衫來，「不是我乾的。,0.7071422338485718,2:1,aligned_ch18.jsonl,97,0.543174684047699
"He can remember writing similar letters in the past. One to Sandra, one to Eva, letters he wrote from the heart when he thought he was a killer and he thought saying good-bye was doing them a favor.",他想起過去寫過類似的信件，一份給了桑德拉，一份給了伊娃，那是他發自內心的真情流露。,0.8172883987426758,2:1,aligned_ch36.jsonl,35,0.5438584089279175
"You bought it for research. Writers are always saying write what you know, and now you know what to expect when you pull a trigger.",你買槍是為了進行研究，畢竟作家只有對熟悉的東西才有發言權。,0.6806610822677612,2:1,aligned_ch3.jsonl,30,0.5440050959587097
“For research.,「為了研究槍。,0.8136823773384094,1:1,aligned_ch5.jsonl,69,0.5448274612426758
“Your wife is dead because of you.” “What?” “You killed her.”,她說，並沖他揮揮曲棍球棒，「你妻子因為你死了。」,0.7373723983764648,3:1,aligned_ch27.jsonl,235,0.5449642539024353
"He has one arm around Nurse Hamilton and one arm around Orderly Eric, and they’re walking down a pathway that seems familiar, as does the house over the road where the old lady is walking from, and the silt that was stirred up before is settling. It’s hiding the past.",他一隻胳膊搭在漢密爾頓護士的肩頭，另一隻胳膊搭在艾瑞克的肩頭，他們正沿著一條似曾走過的道路行走，馬路對面的房子也很眼熟，那個老太太正從那裡走來。,0.784354567527771,2:1,aligned_ch13.jsonl,85,0.5451706051826477
"Support groups are for other people, the same way car accidents are for other people. Sandra thinks it will be good for you.",互助小組是一群同病相憐的人相互扶持和鼓舞，桑德拉覺得這對你有好處。,0.6776975393295288,2:1,aligned_ch3.jsonl,6,0.5453169941902161
